IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
49.36.83.154,2023-05-05,06:37:56 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-05,11:33:32 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-12,00:23:22 UTC,["necessary"],desktop,pt,Safari,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-24,18:10:14 UTC,["necessary"],desktop,pt,Safari,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-24,22:45:53 UTC,["necessary"],desktop,id,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-24,22:51:37 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-24,23:02:59 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-24,23:12:01 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-25,00:00:15 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-25,01:42:46 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-27,03:46:31 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-01,04:45:40 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
